Disease,week_of_year,district,state_ut,temp_celsius,preci,Cases
Acute Diarrhoeal Disease,1,Kamrup,Assam,19.826000000000022,0.01192469865,58.0
Chikungunya,1,Uttara Kannada,Karnataka,28.226,0.03427887668,14.0
Chikungunya,2,Bagalkot,Karnataka,35.02333340000001,9.99e-05,33.0
Cholera,1,Dadra and Nagar Haveli,Dadra and Nagar Haveli,30.916666600000042,8.72e-05,6.0
Acute Diarrhoeal Disease,1,Mahesana,Gujarat,24.860000000000014,0.0001120414055,12.0
Acute Diarrhoeal Disease,1,Haveri,Karnataka,27.83000000000004,0.004688353514,25.0
Acute Diarrhoeal Disease,1,Haveri,Karnataka,27.690000000000055,0.0002796250378,13.0
Dengue,1,Dharmapuri,Tamil Nadu,29.975000000000023,0.02921215626,37.0
Dengue And Chikungunya,1,Dharmapuri,Tamil Nadu,29.975000000000023,0.02921215626,11.0
Dengue,1,Siwan,Bihar,27.738,0.1032550294,134.0
Dengue,1,Bastar,Chhattisgarh,28.238,0.005192771959,5.0
Chikungunya,1,Davangere,Karnataka,29.100000000000023,0.0003752598041,32.0
Acute Diarrhoeal Disease,1,Shivamogga,Karnataka,30.53400000000005,0.0006016571436,170.0
Acute Diarrhoeal Disease,1,Kasaragod,Kerala,28.022000000000048,0.06508428612,49.0
Acute Diarrhoeal Disease,1,Wayanad,Kerala,25.82000000000005,0.2933887851,70.0
Acute Diarrhoeal Disease,1,Sindhudurg,Maharashtra,29.236666600000035,8.11e-05,11.0
Dengue,2,Jorhat,Assam,20.45333340000002,0.02072528327,12.0
Acute Diarrhoeal Disease,2,Anand,Gujarat,25.598000000000013,6.69e-05,75.0
Malaria,2,Gadchiroli,Maharashtra,27.086000000000013,4.79e-05,3.0
Chikungunya,2,Salem,Tamil Nadu,28.410000000000025,0.07573510553,83.0
Dengue,2,Nashik,Maharashtra,34.974000000000046,0.002509383523,27.0
Acute Diarrhoeal Disease,3,Ambala,Haryana,16.120000000000005,0.00143451636,15.0
Acute Diarrhoeal Disease,3,Puducherry,Puducherry,28.850000000000023,0.001047460162,17.0
Acute Diarrhoeal Disease,3,Raigarh,Chhattisgarh,22.400000000000034,7.48e-05,25.0
Acute Diarrhoeal Disease,4,Yamuna Nagar,Haryana,18.263333400000022,0.5302098992,45.0
Acute Diarrhoeal Disease,4,Hassan,Karnataka,32.31400000000002,8.92e-05,28.0
Acute Diarrhoeal Disease,4,West Khasi Hills,Meghalaya,18.370000000000005,0.03078998037,108.0
Dengue,4,Thane,Maharashtra,31.374000000000024,5.55e-05,9.0
Acute Diarrhoeal Disease,4,Koraput,Odisha,26.53000000000003,8.11e-05,11.0
Acute Diarrhoeal Disease,4,Birbhum,West Bengal,24.670000000000016,6.93e-05,51.0
Acute Diarrhoeal Disease,5,Jagatsinghpur,Odisha,28.99000000000001,0.003888925039,21.0
Acute Diarrhoeal Disease,5,Jaipur,Rajasthan,20.298000000000002,0.001989509346,100.0
Acute Diarrhoeal Disease,5,Jaintia Hills,Meghalaya,19.886666600000012,0.002923977928,28.0
Chikungunya,5,Tumkur,Karnataka,32.19333340000003,8.61e-05,137.0
Acute Diarrhoeal Disease,6,Visakhapatnam,Andhra Pradesh,28.30600000000004,0.01016701059,23.0
Acute Diarrhoeal Disease,6,Dakshina Kannada,Karnataka,29.238,0.0007157749797,27.0
Acute Diarrhoeal Disease,6,Angul,Odisha,26.49000000000001,5.94e-05,14.0
Chikungunya,6,Pudukottai,Tamil Nadu,31.375000000000057,0.02520112055,25.0
Dengue,7,Udupi,Karnataka,31.910000000000025,0.004265874878,8.0
