Disease,week_of_year,district,state_ut,temp_celsius,preci,Cases
Acute Diarrhoeal Disease,1,Kamrup,Assam,19.826,0.011924699,58
Chikungunya,1,Uttara Kannada,Karnataka,28.226,0.034278877,14
Chikungunya,2,Bagalkot,Karnataka,35.0233334,9.99E-05,33
Cholera,1,Dadra and Nagar Haveli,Dadra and Nagar Haveli,30.9166666,8.72E-05,6
Acute Diarrhoeal Disease,1,Mahesana,Gujarat,24.86,0.000112041,12
Acute Diarrhoeal Disease,1,Haveri,Karnataka,27.83,0.004688354,25
Acute Diarrhoeal Disease,1,Haveri,Karnataka,27.69,0.000279625,13
Dengue,1,Dharmapuri,Tamil Nadu,29.975,0.029212156,37
Dengue,1,Dharmapuri,Tamil Nadu,29.975,0.029212156,11
Dengue,1,Siwan,Bihar,27.738,0.103255029,134
Dengue,1,Bastar,Chhattisgarh,28.238,0.005192772,5
Chikungunya,1,Davangere,Karnataka,29.1,0.00037526,32
Acute Diarrhoeal Disease,1,Shivamogga,Karnataka,30.534,0.000601657,170
Acute Diarrhoeal Disease,1,Kasaragod,Kerala,28.022,0.065084286,49
Acute Diarrhoeal Disease,1,Wayanad,Kerala,25.82,0.293388785,70
Acute Diarrhoeal Disease,1,Sindhudurg,Maharashtra,29.2366666,8.11E-05,11
Dengue,2,Jorhat,Assam,20.4533334,0.020725283,12
Acute Diarrhoeal Disease,2,Anand,Gujarat,25.598,6.69E-05,75
Malaria,2,Gadchiroli,Maharashtra,27.086,4.79E-05,3
Chikungunya,2,Salem,Tamil Nadu,28.41,0.075735106,83
Dengue,2,Nashik,Maharashtra,34.974,0.002509384,27
Acute Diarrhoeal Disease,3,Ambala,Haryana,16.12,0.001434516,15
Acute Diarrhoeal Disease,3,Puducherry,Puducherry,28.85,0.00104746,17
Acute Diarrhoeal Disease,3,Raigarh,Chhattisgarh,22.4,7.48E-05,25
Acute Diarrhoeal Disease,4,Yamuna Nagar,Haryana,18.2633334,0.530209899,45
Acute Diarrhoeal Disease,4,Hassan,Karnataka,32.314,8.92E-05,28
Acute Diarrhoeal Disease,4,West Khasi Hills,Meghalaya,18.37,0.03078998,108
Dengue,4,Thane,Maharashtra,31.374,5.55E-05,9
Acute Diarrhoeal Disease,4,Koraput,Odisha,26.53,8.11E-05,11
Acute Diarrhoeal Disease,4,Birbhum,West Bengal,24.67,6.93E-05,51
Acute Diarrhoeal Disease,5,Jagatsinghpur,Odisha,28.99,0.003888925,21
Acute Diarrhoeal Disease,5,Jaipur,Rajasthan,20.298,0.001989509,100
Acute Diarrhoeal Disease,5,Jaintia Hills,Meghalaya,19.8866666,0.002923978,28
Chikungunya,5,Tumkur,Karnataka,32.1933334,8.61E-05,137
Acute Diarrhoeal Disease,6,Visakhapatnam,Andhra Pradesh,28.306,0.010167011,23
Acute Diarrhoeal Disease,6,Dakshina Kannada,Karnataka,29.238,0.000715775,27
Acute Diarrhoeal Disease,6,Angul,Odisha,26.49,5.94E-05,14
Chikungunya,6,Pudukottai,Tamil Nadu,31.375,0.025201121,25
Dengue,7,Udupi,Karnataka,31.91,0.004265875,8
Acute Diarrhoeal Disease,7,Pathanamthitta,Kerala,28.875,0.231209428,6
Acute Diarrhoeal Disease,7,S.A.S Nagar,Punjab,17.038,0.705548985,8
Acute Diarrhoeal Disease,7,Madurai,Tamil Nadu,34.315,0.107098476,41
Acute Diarrhoeal Disease,7,North Goa,Goa,29.7333334,3.70E-05,19
Acute Diarrhoeal Disease,7,West Garo Hills,Meghalaya,21.96,3.70E-05,14
Acute Diarrhoeal Disease,7,East Khasi Hills,Meghalaya,20.2666666,0.115696099,54
Acute Diarrhoeal Disease,8,Belagavi,Karnataka,38.1666666,0.000342562,37
Acute Diarrhoeal Disease,8,Dakshina Kannada,Karnataka,33.37,0.000394814,13
Chikungunya,8,Karur,Tamil Nadu,38.834,0.006853667,12
Acute Diarrhoeal Disease,8,Thoothukudi,Tamil Nadu,35.375,0.201264713,34
Chikungunya,8,Ariyalur,Tamil Nadu,34.506,0.018206283,15
Chikungunya,8,Erode,Tamil Nadu,36.226,0.004181771,22
Acute Diarrhoeal Disease,9,Visakhapatnam,Andhra Pradesh,35.6466666,0.001563707,133
Dengue,9,Kolhapur,Maharashtra,39.27,0.00015143,7
Dengue,9,Nalgonda,Telangana,39.038,0.000234475,59
Acute Diarrhoeal Disease,10,Dima Hasao,Assam,24.562,0.052660306,9
Acute Diarrhoeal Disease,10,Kangra,Himachal Pradesh,15.122,0.374997027,225
Acute Diarrhoeal Disease,10,Mandi,Himachal Pradesh,12.76,0.579766428,126
Chikungunya,10,Erode,Tamil Nadu,38.53,0.020027034,31
Acute Diarrhoeal Disease,11,Jorhat,Assam,21.214,0.223863895,35
Acute Diarrhoeal Disease,11,Rajnandgaon,Chhattisgarh,34.27,0.013016908,13
Chikungunya,11,Hassan,Karnataka,38.278,0.003303467,15
Chikungunya,11,Tumkur,Karnataka,39.7866666,0.000205441,49
Chikungunya,11,Yadgiri,Karnataka,43.7633334,0.000108786,20
Acute Diarrhoeal Disease,11,Koraput,Odisha,33.238,0.005392222,13
Cholera,11,Hoshiarpur,Punjab,22.99,0.217776732,98
Acute Diarrhoeal Disease,11,Nagapattinam,Tamil Nadu,35.634,0.014863791,166
Acute Diarrhoeal Disease,11,Tiruvarur,Tamil Nadu,36.618,0.014965872,263
Chikungunya,12,Trichy,Tamil Nadu,39.482,0.006489458,23
Chikungunya,13,Khunti,Jharkhand,31.32,0.016626866,23
Acute Diarrhoeal Disease,13,Ratnagiri,Maharashtra,36.9833334,0.002829652,45
Dengue,13,Tirunelveli,Tamil Nadu,38.058,0.022096642,35
Chikungunya,13,Madurai,Tamil Nadu,43.514,0.006165419,39
Acute Diarrhoeal Disease,13,Almora,Uttarakhand,21.786,0.161017635,28
Acute Diarrhoeal Disease,14,Durg,Chhattisgarh,38.2333334,0.001338561,15
Chikungunya,14,Dharwad,Karnataka,45.254,0.066170197,20
Chikungunya,14,Puducherry,Puducherry,39.55,0.000862329,7
Acute Diarrhoeal Disease,14,Bishnupur,West Bengal,36.19,0.096269712,83
Dengue,14,Chitradurga,Karnataka,40.47,0.000286226,18
Acute Diarrhoeal Disease,14,Mysuru,Karnataka,40.706,0.00468311,61
Chikungunya,14,Mahabubnagar,Telangana,44.858,0.000115106,46
Malaria,15,Dhubri,Assam,24.742,0.276406662,15
